Id,bldg_sf,total_baths,good_ament_ct,btm_5_nbrhd,newHome,neg_ovrll_cond,adj_ovr_qual,adj_lot_area,bad_ament_ct,abnormal_sale,outside_sf,two_plus_cr_garg,sgl_famly_hm,top_3_nbrhd,homeage,remodelage,lotfrontage,garagecars,bedroomsabvgr,saleprice,log_saleprice
90,1980,2.0,2,0,0,0,1,7080,1,0,0,0,0,0,13,12,60.0,0,3,123600,11.724805824005728
91,1040,1.0,0,0,0,0,1,6131,2,0,29,1,0,0,56,56,60.0,2,2,109900,11.607326140391713
92,2470,1.0,0,0,0,1,2,7265,1,1,0,1,0,0,45,45,85.0,2,2,98600,11.498826540590727
93,1840,2.0,1,0,0,0,2,12352,1,0,44,1,0,0,88,3,80.0,2,2,163500,12.004568269319446
94,3505,2.5,2,1,0,0,3,5841,1,0,99,1,1,0,97,9,60.0,2,4,133900,11.804848531679264
95,2610,3.5,3,0,0,0,3,8270,1,0,162,1,0,0,10,10,69.0,2,3,204750,12.229545001715316
96,2150,2.5,1,0,0,0,3,8790,0,0,295,1,0,0,16,16,0.0,2,3,185000,12.128111104060462
97,3176,2.0,2,0,0,0,4,8489,1,0,187,1,0,0,7,7,78.0,2,3,214000,12.273731294003989
98,1920,2.0,0,1,0,0,1,9841,2,0,120,0,0,0,42,42,73.0,1,3,94750,11.458997122944673
99,1293,1.0,0,1,0,0,2,9713,2,1,77,0,0,0,90,60,85.0,1,2,83000,11.326595886778735
100,2175,2.5,0,0,0,0,1,7743,1,0,352,0,0,0,51,51,77.0,0,3,128950,11.76718001130949
101,3220,3.0,2,0,0,0,3,8757,0,0,236,1,0,0,33,9,0.0,2,3,205000,12.230765258120545
102,2473,2.5,2,0,0,0,3,7991,0,0,238,1,0,0,25,25,77.0,2,3,178000,12.089538829274222
103,1535,2.0,0,0,0,0,2,5483,1,0,0,1,1,0,30,30,64.0,2,4,118964,11.686576205316552
104,2452,2.0,2,0,1,0,4,9140,1,0,36,1,0,0,1,1,94.0,3,3,198900,12.200557464842063
105,2858,1.5,2,1,0,1,4,6348,1,0,184,0,0,0,76,57,0.0,1,4,169500,12.040608205802641
106,3045,2.5,4,0,0,0,5,8137,0,0,185,1,0,0,5,4,75.0,2,3,250000,12.429216196844383
107,1688,1.0,0,1,0,0,1,9753,1,0,0,0,0,0,122,12,60.0,1,2,100000,11.512925464970229
108,1578,1.0,1,1,0,0,2,5211,1,0,0,0,0,0,60,58,50.0,1,2,115000,11.652687407345388
109,2310,2.0,0,1,0,0,2,7359,3,0,144,0,0,0,88,2,85.0,0,3,115000,11.652687407345388
110,3688,2.0,2,0,0,0,3,9785,0,0,122,1,0,0,33,33,105.0,2,3,190000,12.154779351142624
111,2849,2.0,0,1,0,1,3,8127,1,0,182,0,0,0,52,34,75.0,1,4,136900,11.82700601127654
112,1814,2.5,3,0,0,0,4,6796,0,0,180,1,0,0,10,10,0.0,2,3,180000,12.100712129872347
113,3960,3.5,5,0,1,0,4,8211,0,0,472,1,0,0,0,0,77.0,3,4,383970,12.858319703517948
114,4068,3.0,2,0,0,0,3,18263,0,1,478,1,0,0,54,54,0.0,2,3,217000,12.287652632522597
115,3348,3.5,3,0,0,0,3,5599,0,0,224,0,0,0,62,5,61.0,1,3,259500,12.46651198158808
116,2187,2.5,1,0,0,0,3,2469,0,0,32,1,1,0,8,8,34.0,2,2,176000,12.078239274020289
117,2184,1.5,0,0,0,0,2,10360,0,0,164,0,0,0,47,47,0.0,1,3,139000,11.842229212112828
118,2250,1.5,0,1,1,0,2,7267,1,0,144,1,0,0,1,0,74.0,2,2,155000,11.951180395901384
119,4895,4.0,3,0,0,0,4,10310,0,0,367,1,0,0,20,20,90.0,3,5,320000,12.676076274775909
120,2184,2.5,3,0,1,0,3,7709,0,0,24,1,0,0,1,0,65.0,2,3,163990,12.007560729337492
121,1926,2.0,2,0,0,0,3,20205,0,0,260,1,0,0,37,37,0.0,2,1,180000,12.100712129872347
122,1855,1.0,0,1,0,0,1,5148,1,0,140,0,0,0,68,57,50.0,1,3,100000,11.512925464970229
123,2160,1.0,0,0,0,0,3,8254,1,0,130,0,0,0,50,50,75.0,1,3,136000,11.820410164718188
124,2398,2.0,3,0,0,0,3,6630,1,0,63,1,1,0,15,15,55.0,2,2,153900,11.94405831982697
125,2948,2.0,1,0,0,0,3,15265,0,0,192,1,0,0,30,11,48.0,2,3,181000,12.106252310247962
126,1040,2.0,1,1,0,0,3,6207,2,0,53,0,1,0,71,24,60.0,0,2,84500,11.344506813345266
127,2036,2.0,1,0,0,0,3,3765,0,0,205,1,1,0,31,31,0.0,2,2,128000,11.759785542901755
128,1512,1.0,2,1,0,0,2,3548,0,0,0,0,0,0,77,57,55.0,0,3,87000,11.37366339763672
129,2008,1.5,0,0,0,0,3,6634,0,0,296,1,0,0,40,40,69.0,2,3,155000,11.951180395901384
130,2061,2.0,1,0,0,0,2,7660,2,1,260,1,0,0,48,15,69.0,2,3,150000,11.918390573078392
131,3081,2.5,3,0,0,0,4,12813,0,0,171,1,0,0,40,40,88.0,2,4,226000,12.328290278254423
132,3046,3.5,4,0,0,0,3,11130,0,0,72,1,0,0,9,9,0.0,2,3,244000,12.404923504275338
133,2390,2.0,1,0,0,0,2,6061,1,0,0,1,0,0,48,5,75.0,2,3,150750,11.923378114589433
134,2563,3.0,4,0,0,0,5,5340,1,0,217,1,0,0,8,7,0.0,2,2,220000,12.301382825334498
135,3182,2.5,1,0,0,0,2,8338,0,0,276,1,0,0,38,13,78.0,2,3,180000,12.100712129872347
136,2986,2.0,1,0,0,0,4,8620,0,0,98,1,0,0,38,38,80.0,2,3,174000,12.066810578196666
137,2428,2.0,0,0,0,0,2,9030,0,0,111,0,0,0,40,40,0.0,1,3,143000,11.870599909242044
138,3866,3.0,0,0,0,0,4,9111,1,0,0,1,1,0,18,17,82.0,3,5,171000,12.049418835484797
139,2856,2.5,4,0,0,0,5,7732,0,0,330,1,0,0,9,8,73.0,3,3,230000,12.345834587905333
140,2692,3.5,3,0,0,0,3,14123,1,0,375,1,0,0,12,12,65.0,2,3,231500,12.352335152508426
141,1728,1.0,0,0,0,0,1,9636,0,0,0,0,0,0,39,39,70.0,0,3,115000,11.652687407345388
142,3468,3.0,3,0,1,0,4,9727,1,0,184,1,0,0,1,1,78.0,2,3,260000,12.468436909997665
143,2295,2.0,0,0,0,1,2,7610,1,0,0,1,0,0,58,58,71.0,2,4,166000,12.01974306733868
144,2991,3.0,3,0,0,0,4,8661,1,0,173,1,0,0,10,10,78.0,2,3,204000,12.225875272826354
145,3456,3.0,0,0,0,0,2,7372,1,1,0,1,1,0,43,43,70.0,2,6,125000,11.736069016284437
146,2679,2.0,2,1,1,0,3,1512,1,0,40,1,1,0,2,0,24.0,2,3,130000,11.77528972943772
147,1590,2.0,0,0,0,0,2,5197,2,0,48,0,0,0,78,16,51.0,1,2,105000,11.56171562913966
148,2919,2.5,3,0,0,0,4,8429,0,0,192,1,0,0,9,9,0.0,2,3,222500,12.312682380588432
149,2160,2.0,3,0,1,0,4,6420,1,0,0,0,0,0,4,3,63.0,0,3,141000,11.856515169360305
150,2240,1.0,0,0,0,1,2,5030,2,0,314,0,0,0,70,56,0.0,1,3,115000,11.652687407345388
151,1938,1.5,0,0,0,0,2,9387,1,0,0,1,0,0,32,32,120.0,2,3,122000,11.711776323715394
152,3420,3.0,5,0,1,0,5,12079,0,0,102,1,0,1,1,0,107.0,3,2,372402,12.827729194939907
153,2818,2.5,1,0,0,0,3,13640,0,0,66,1,0,0,35,35,0.0,2,4,190000,12.154779351142624
154,2854,2.0,1,0,0,0,3,11839,0,0,409,1,0,0,48,33,0.0,2,1,235000,12.367340793126296
155,2400,1.0,0,1,0,0,3,9912,2,0,228,0,0,0,83,56,84.0,1,4,125000,11.736069016284437
156,1668,1.0,0,1,0,0,3,8892,3,0,136,0,0,0,84,58,60.0,0,2,79000,11.27720313144916
157,1040,1.0,0,0,0,0,2,6160,2,0,0,1,0,0,56,56,60.0,2,2,109500,11.603679828238693
158,2742,2.5,4,0,1,0,5,11154,0,0,75,1,0,0,1,0,92.0,3,4,269500,12.504323669331189
159,2938,2.5,4,0,0,0,4,11425,0,0,136,1,0,0,6,5,100.0,2,3,254900,12.448626590364206
160,3854,3.5,4,0,1,0,4,17447,0,0,539,1,0,0,1,0,134.0,2,4,320000,12.676076274775909
161,2464,2.0,0,0,0,0,3,9888,1,0,0,1,0,0,24,24,0.0,2,3,162500,11.998433280751929
162,4240,3.5,5,0,0,0,6,11716,0,0,400,1,0,1,5,4,110.0,3,3,412500,12.929991484756872
163,3082,2.0,3,0,0,0,4,10571,0,0,70,1,0,1,5,5,95.0,2,3,220000,12.301382825334498
164,1764,1.0,1,1,0,0,1,4618,1,0,0,0,0,0,51,51,55.0,0,1,103200,11.544424132029599
165,2765,2.0,1,1,0,0,3,4068,2,0,183,0,0,0,81,3,40.0,1,3,152000,11.931635799828413
166,1999,3.0,0,1,0,0,2,9158,1,0,140,0,1,0,68,9,62.0,0,4,127500,11.755871643580617
167,3484,2.0,2,0,0,0,2,8223,1,0,618,0,0,0,54,16,0.0,1,2,190000,12.154779351142624
168,3743,2.5,5,0,1,0,5,8654,0,0,298,1,0,1,0,0,86.0,3,3,325624,12.693498620467778
169,2560,2.5,3,0,1,0,4,7256,0,0,148,1,0,0,3,3,62.0,2,3,183500,12.119969946476761
170,3393,2.5,1,0,0,0,5,14324,0,0,638,1,0,0,25,25,0.0,2,2,228000,12.337100907936577
171,1574,1.5,0,1,0,0,2,11267,1,0,237,1,0,0,66,57,0.0,2,2,128500,11.763684183317412
172,2736,2.0,1,0,0,0,3,29842,0,0,272,1,0,0,50,50,141.0,2,3,215000,12.2783933071098
173,2831,3.0,3,0,0,0,4,3766,0,0,476,1,1,1,19,19,44.0,2,2,239000,12.384218830913648
174,2724,2.5,1,0,0,0,3,8815,0,0,20,1,0,0,47,47,80.0,2,3,163000,12.0015054797889
175,3257,3.0,1,0,0,0,3,10573,0,0,192,1,0,0,22,22,47.0,2,3,184000,12.122691036591123
176,3360,3.0,2,1,0,0,3,10389,0,0,68,1,0,0,57,6,84.0,2,4,243000,12.400816722322686
177,3211,3.0,2,0,0,0,3,8445,0,0,420,1,0,0,19,18,97.0,2,4,211000,12.259613412458204
178,2972,3.0,3,0,0,0,2,12398,0,0,0,1,0,0,48,48,0.0,2,4,172500,12.058152515453552
179,4450,3.0,5,0,1,0,6,15129,0,0,60,1,0,1,1,0,63.0,3,1,501837,13.1260306447518
180,1936,1.0,0,1,0,0,2,7368,1,0,184,1,0,0,84,1,60.0,2,2,100000,11.512925464970229
181,2281,2.5,4,0,0,0,3,1348,0,0,0,1,1,0,7,7,0.0,2,3,177000,12.083905011555967
182,2595,1.5,1,0,0,0,4,6647,0,0,40,0,0,0,86,56,54.0,1,4,200100,12.206572520571825
183,1340,1.0,2,1,0,0,2,7424,0,0,296,0,0,0,50,1,60.0,1,3,120000,11.695247021764184
184,3444,2.5,2,1,0,0,4,9546,1,0,518,1,0,0,5,5,63.0,2,3,200000,12.206072645530174
185,1756,1.0,0,0,0,0,2,6398,1,0,104,1,0,0,98,15,92.0,2,3,127000,11.751942365440728
186,4143,2.5,3,1,0,0,7,20762,0,0,670,1,0,0,114,13,90.0,3,4,475000,13.071070083016778
187,2405,3.0,3,0,0,0,4,8535,1,0,195,1,0,0,19,18,0.0,2,3,173000,12.061046873479915
188,2172,2.5,1,1,0,0,2,9462,1,0,140,0,0,0,93,22,60.0,1,3,135000,11.813030057420567
189,2310,3.0,2,0,0,0,2,5674,0,0,120,1,1,0,30,30,64.0,2,2,153337,11.940393392554734
190,3186,2.5,5,0,0,0,5,2986,0,0,344,1,1,1,7,6,41.0,2,0,286000,12.56374708980199
191,3580,2.5,2,0,0,0,5,8947,0,0,74,1,0,0,75,13,70.0,2,3,315000,12.66032791780777
192,2204,2.5,1,0,0,0,4,6715,1,0,32,1,0,0,35,3,0.0,2,4,184000,12.122691036591123
193,2862,3.0,3,0,0,0,4,7551,1,0,35,1,0,0,10,10,68.0,2,3,192000,12.165250651009918
194,2679,2.0,2,1,1,0,4,1512,1,0,40,1,1,0,2,2,24.0,2,3,130000,11.77528972943772
195,1728,1.0,0,0,0,0,2,6316,1,0,0,0,0,0,36,36,60.0,1,3,127000,11.751942365440728
196,2311,2.5,1,0,0,0,3,1338,0,0,87,1,1,0,33,33,24.0,2,3,148500,11.908340237224891
197,3452,3.0,5,0,1,0,4,7115,0,0,575,1,0,0,0,0,79.0,3,3,311872,12.650348126203179
198,4080,3.5,3,0,0,1,5,23491,0,1,568,1,0,0,88,16,174.0,2,4,235000,12.367340793126296
199,2613,1.0,1,1,0,0,3,4363,1,1,228,0,0,0,97,59,92.0,0,5,104000,11.55214617812351
200,3426,3.0,5,0,0,0,5,7682,0,0,196,1,0,1,5,4,76.0,3,3,274900,12.524162674153336
201,2242,2.0,1,1,0,0,1,7229,1,0,196,1,0,0,7,6,80.0,2,2,140000,11.84939770159144
202,2475,2.5,0,0,0,0,3,8525,0,0,321,1,0,0,31,31,75.0,2,3,171500,12.052338545588132
203,1927,2.0,0,1,0,0,3,6009,1,0,126,0,0,0,82,56,50.0,1,2,112000,11.626254150277232
204,1696,2.0,4,0,1,0,3,3441,0,0,149,1,1,0,4,4,0.0,2,1,149000,11.911701584927597
205,2004,1.5,0,1,0,0,2,2745,1,0,35,0,0,0,62,59,50.0,1,2,110000,11.608235644774552
206,2866,2.0,1,0,0,0,4,9867,1,0,542,1,0,0,19,19,99.0,2,3,180500,12.103486056755072
207,2836,1.5,1,0,0,0,2,11947,0,0,30,0,0,0,45,45,40.0,1,3,143900,11.876873892875459
208,2200,2.0,0,0,0,0,1,11038,0,0,355,0,0,0,48,48,0.0,1,3,141000,11.856515169360305
209,3219,3.5,3,0,0,0,4,12915,0,0,269,1,0,0,19,18,0.0,2,3,277000,12.531772785169476
210,2184,2.0,1,0,0,0,3,7158,1,0,0,1,0,0,44,44,75.0,2,3,145000,11.884489021402711
211,1728,2.0,0,1,0,0,2,4644,3,0,96,0,0,0,83,58,67.0,0,2,98000,11.49272275765271
212,2424,2.0,3,1,1,0,3,9086,1,0,122,1,0,0,1,1,83.0,2,3,186000,12.133501952695338
213,2752,3.5,4,0,1,0,4,7432,0,0,276,1,0,0,0,0,72.0,2,3,252678,12.439871229831715
214,1980,1.5,1,0,0,0,2,12354,1,0,224,1,0,0,11,11,43.0,2,3,156000,11.957611286231675
215,2081,1.5,2,0,0,0,3,10175,1,0,36,0,0,0,33,33,0.0,1,3,161750,11.993807212363148
216,2306,1.5,1,0,0,0,2,8775,0,0,0,0,0,0,49,10,72.0,1,2,134450,11.80894766169701
217,2872,3.0,3,0,1,0,4,6777,1,0,237,1,0,0,4,4,65.0,2,3,210000,12.254862809699606
218,2014,1.0,0,1,0,1,1,8864,2,0,232,0,0,0,81,56,57.0,1,3,107000,11.580584113444043
219,2752,2.0,3,0,0,0,4,14254,0,0,269,1,0,0,69,2,0.0,2,3,311500,12.649154617209645
220,2496,2.0,3,0,1,0,4,1654,1,0,108,1,1,0,1,0,43.0,2,2,167240,12.0271851854705
221,2996,2.0,2,0,1,0,4,7108,1,0,384,1,0,0,0,0,73.0,2,2,204900,12.230277334226992
222,3277,2.5,3,0,0,0,3,6892,0,0,166,1,0,0,7,7,0.0,2,4,200000,12.206072645530174
223,2265,3.5,1,0,0,0,3,10247,0,0,417,1,0,0,31,31,85.0,2,3,179900,12.100156419938624
224,1728,1.0,0,0,0,0,1,9420,1,1,216,1,0,0,38,38,70.0,2,2,97000,11.48246625748552
225,4784,2.0,5,0,0,0,7,10727,0,0,353,1,0,1,6,6,103.0,3,3,386250,12.864240107194092
226,1932,2.5,0,1,0,0,2,1050,1,1,0,0,1,0,38,38,21.0,1,3,112000,11.626254150277232
227,3723,2.5,4,0,0,0,4,8398,0,1,338,1,0,1,12,12,82.0,3,4,290000,12.577636201962656
228,1470,1.5,0,1,0,0,3,1386,1,0,0,0,1,0,38,38,21.0,1,2,106000,11.571194373094205
229,1824,1.0,0,0,0,0,2,7609,0,0,0,0,0,0,43,43,70.0,1,3,125000,11.736069016284437
230,2928,2.0,4,0,1,0,4,1464,0,0,163,1,1,0,4,3,43.0,2,2,192500,12.167851432709975
231,2388,2.0,0,0,0,0,3,7446,1,0,120,0,0,0,51,51,73.0,1,3,148000,11.904967552746252
232,4256,3.5,4,0,0,0,5,13300,0,0,348,1,0,1,14,13,174.0,3,4,403000,12.90669184092882
233,1470,1.5,0,1,0,0,3,1197,0,0,0,0,1,0,34,34,21.0,1,2,94500,11.456355113481834
234,1788,2.0,0,0,0,0,2,9391,1,0,365,0,0,0,34,34,75.0,1,3,128200,11.761346823468706
235,2820,3.5,4,0,0,0,3,6655,0,0,336,1,0,0,8,8,0.0,2,4,216500,12.285345826424681
236,1470,1.5,0,1,0,1,3,1197,1,0,0,0,1,0,37,37,21.0,1,2,89500,11.401993904262946
237,2828,2.0,3,0,0,0,4,7122,1,0,237,1,0,0,6,6,65.0,2,3,185500,12.130810161029627
238,2740,2.5,2,0,0,0,4,7761,1,0,678,1,0,0,17,7,0.0,2,3,194500,12.178187442040638
239,3388,2.0,3,0,1,0,5,9940,1,0,396,1,0,1,0,0,93.0,3,3,318000,12.669806661762314
